UBIGEO,NAME_CLEAN
000001,SUBTANJALLA
000001,PROGRESO
000001,ACOPIA
000001,LA TINGUINA
000001,CHUQUIBAMBILLA
000001,OCOYO
000001,LLALLI
000001,EL INGENIO
000001,SAN JOSE
000001,LLIPATA
000001,YANAHUAYA
000001,OROPESA
000001,CHALHUANCA
000001,CRUCERO
000001,YANAOCA
000001,MAMARA
000001,ANTAUTA
000001,SICUANI
000001,TURPAY
000001,CHAMACA
000001,POMACANCHI
000001,CORDOVA
000001,CAPACMARCA
000001,TORAYA
000001,PHARA
000001,HUAYANA
000001,SAN MIGUEL DE CHACCRAMPA
000001,CHAPIMARCA
000001,YAUCA DEL ROSARIO
000001,QUERCO
000001,GAMARRA
000001,SAN ANTONIO DE CACHI
000001,CORANI
000001,PITUMARCA
000001,TURPO
000001,SAN ANDRES
000001,TAMBOBAMBA
000001,QUIQUIJANA
000001,RONDOCAN
000001,HUANCARAY
000001,PACCARITAMBO
000001,TUPAC AMARU INCA
000001,LAMBRAMA
000001,PISCO
000001,SANGARARA
000001,PILLPINTO
000001,MACUSANI
000001,ACCHA
000001,MARA
000001,HUAYLLATI
000001,CHACOCHE
000001,CURPAHUASI
000001,ACOS
000001,CHECACUPE
000001,TUMAY HUARACA
000001,ALTO INAMBARI
000001,CHIARA
000001,ACOMAYO
000001,SAN JUAN DE CHACNA
000001,LUCRE
000001,LARAMARCA
000001,COLCHA
000001,CUSIPATA
000001,TINTAY
000001,CIRCA
000001,COYLLURQUI
000001,CCAPI
000001,PARACAS
000001,SAN FRANCISCO DE SANGAYAICO
000001,SAN JOSE DE LOS MOLINOS
000001,HUARO
000001,PICHIRHUA
000001,COTABAMBAS
000001,PLATERIA
000001,COCHARCAS
000001,ABANCAY
000001,TAMBURCO
000001,PACUCHA
000001,CCORCA
000001,YAULI
000001,ROSARIO
000001,HONGOS
000001,ASIA
000001,CATAHUASI
000001,CACRA
000001,OCOBAMBA
000001,PUTINZA
000001,PAUCARA
000001,INAMBARI
000001,ACOBAMBILLA
000001,MALA
000001,TUPE
000001,JESUS MARIA
000001,CCOCHACCASA
000001,MADEAN
000001,MARANURA
000001,AURAHUA
000001,CALLANMARCA
000001,VINAC
000001,CHOCOS
000001,SAN MIGUEL DE ACOS
000001,HUARAL
000001,MARCAPOMACOCHA
000001,SAN SEBASTIAN
000001,TAURIPAMPA
